state-name,fuel-name,period,co2_per_kwh
Alabama,Coal,2025,4.0342734226591603e-10
Alabama,Natural Gas,2025,2.218475254867209e-10
Alabama,Petroleum,2025,
Alaska,Coal,2025,4.855240287022264e-10
Alaska,Natural Gas,2025,2.3087799341561404e-10
Alaska,Petroleum,2025,1.0469017785759128e-10
Arizona,Coal,2025,9.966534018434052e-10
Arizona,Natural Gas,2025,1.5786115497350808e-10
Arizona,Petroleum,2025,0.0
Arkansas,Coal,2025,4.613201239048396e-10
Arkansas,Natural Gas,2025,1.780492252554046e-10
Arkansas,Petroleum,2025,0.0
California,Coal,2025,
California,Natural Gas,2025,1.944220494101174e-10
California,Petroleum,2025,
Colorado,Coal,2025,4.1968027756992885e-10
Colorado,Natural Gas,2025,1.6120821329809328e-10
Colorado,Petroleum,2025,0.0
Connecticut,Coal,2025,
Connecticut,Natural Gas,2025,1.780280393312003e-10
Connecticut,Petroleum,2025,0.0
Delaware,Coal,2025,
Delaware,Natural Gas,2025,3.114027492958824e-10
Delaware,Petroleum,2025,0.0
Florida,Coal,2025,9.49064735283567e-10
Florida,Natural Gas,2025,1.9403897318578012e-10
Florida,Petroleum,2025,
Georgia,Coal,2025,6.900787612281459e-10
Georgia,Natural Gas,2025,1.8797076984770523e-10
Georgia,Petroleum,2025,0.0
Hawaii,Coal,2025,3.706724711010417e-10
Hawaii,Natural Gas,2025,
Hawaii,Petroleum,2025,2.2499484809709518e-10
Idaho,Natural Gas,2025,1.4679267320118873e-10
Idaho,Petroleum,2025,0.0
Illinois,Coal,2025,7.587662952835019e-10
Illinois,Natural Gas,2025,1.390883653545024e-10
Illinois,Petroleum,2025,0.0
Indiana,Coal,2025,4.5942314676087066e-10
Indiana,Natural Gas,2025,1.589361972987489e-10
Indiana,Petroleum,2025,inf
Iowa,Coal,2025,6.433466762279469e-10
Iowa,Natural Gas,2025,1.170871695777538e-10
Iowa,Petroleum,2025,2.8468359780750133e-10
Kansas,Coal,2025,4.0622534395412834e-10
Kansas,Natural Gas,2025,1.6239342580864675e-10
Kansas,Petroleum,2025,0.0
Kentucky,Coal,2025,5.151800579070369e-10
Kentucky,Natural Gas,2025,1.430728148432961e-10
Kentucky,Petroleum,2025,
Louisiana,Coal,2025,4.311114043098298e-09
Louisiana,Natural Gas,2025,1.664305761212715e-10
Louisiana,Petroleum,2025,5.392421660047854e-10
Maine,Coal,2025,2.0000907069049062e-11
Maine,Natural Gas,2025,0.0
