stateDescription,fueltypeid,period,predicted_energy_production_KWh
Alabama,COL,2023,50333565524.671875
Alabama,COL,2024,40972074672.58984
Alabama,COL,2025,31610583820.51172
Alabama,NG,2023,129345855073.61523
Alabama,NG,2024,131718225914.06738
Alabama,NG,2025,134090596754.51953
Alabama,NUC,2023,136930934114.15479
Alabama,NUC,2024,138291767470.55322
Alabama,NUC,2025,139652600826.95215
Alabama,PET,2023,22615038.453025818
Alabama,PET,2024,214553.78772735596
Alabama,PET,2025,0.0
Alabama,SUN,2023,1305536368.7522583
Alabama,SUN,2024,1433763335.3363953
Alabama,SUN,2025,1561990301.9205627
Alaska,COL,2023,2047715365.9743652
Alaska,COL,2024,2130314638.7244873
Alaska,COL,2025,2212913911.4746094
Alaska,NG,2023,6486018148.705933
Alaska,NG,2024,6103430665.268188
Alaska,NG,2025,5720843181.830444
Alaska,PET,2023,2263228777.886286
Alaska,PET,2024,2260943854.119872
Alaska,PET,2025,2258658930.3534594
Alaska,SUN,2023,39076.1426666677
Alaska,SUN,2024,62521.82826666534
Alaska,SUN,2025,85967.51386667043
Alaska,WND,2023,332796853.53849983
Alaska,WND,2024,340129813.7660217
Alaska,WND,2025,347462773.9935417
Arizona,COL,2023,37734362268.4668
Arizona,COL,2024,29393795168.11328
Arizona,COL,2025,21053228067.759766
Arizona,NG,2023,115805796466.85156
Arizona,NG,2024,120634098113.91406
Arizona,NG,2025,125462399760.97656
Arizona,NUC,2023,97443845825.46909
Arizona,NUC,2024,97450951633.07344
Arizona,NUC,2025,97458057440.67778
Arizona,PET,2023,132148843.64288235
Arizona,PET,2024,128971817.98051167
Arizona,PET,2025,125794792.31814098
Arizona,SUN,2023,15431382290.18628
Arizona,SUN,2024,16405765911.558838
Arizona,SUN,2025,17380149532.931396
Arizona,WND,2023,2308895865.6250305
Arizona,WND,2024,2429381717.377411
Arizona,WND,2025,2549867569.1297913
Arkansas,COL,2023,55458614544.55859
Arkansas,COL,2024,52545539309.24121
Arkansas,COL,2025,49632464073.92285
Arkansas,NG,2023,51836917120.22363
Arkansas,NG,2024,53971837174.35889
Arkansas,NG,2025,56106757228.49414
Arkansas,NUC,2023,42550880803.14625
Arkansas,NUC,2024,42520388072.30172
Arkansas,NUC,2025,42489895341.45719
Arkansas,PET,2023,156781048.40342522
Arkansas,PET,2024,159851879.28049755
Arkansas,PET,2025,162922710.1575699
Arkansas,SUN,2023,983621797.6215515
Arkansas,SUN,2024,1104359605.1492615
Arkansas,SUN,2025,1225097412.6769714
California,COL,2023,0.0
California,COL,2024,0.0
California,COL,2025,0.0
California,NG,2023,175708464602.1455
California,NG,2024,172427237578.80566
California,NG,2025,169146010555.4668
California,NUC,2023,42162898248.4541
California,NUC,2024,39208239803.12598
California,NUC,2025,36253581357.79785
California,PET,2023,0.0
California,PET,2024,0.0
California,PET,2025,0.0
California,SUN,2023,79679843482.80664
California,SUN,2024,85331401262.77734
California,SUN,2025,90982959042.7461
California,WND,2023,29730885757.58982
California,WND,2024,29697785261.04106
California,WND,2025,29664684764.49231
Colorado,COL,2023,62202214615.11426
Colorado,COL,2024,58337604603.17969
Colorado,COL,2025,54472994591.24414
Colorado,NG,2023,43040063645.28613
Colorado,NG,2024,44519900197.23242
Colorado,NG,2025,45999736749.17871
Colorado,PET,2023,270734867.7364273
Colorado,PET,2024,294693137.8584213
Colorado,PET,2025,318651407.9804077
Colorado,SUN,2023,4026583480.9993896
Colorado,SUN,2024,4349909900.718384
Colorado,SUN,2025,4673236320.437256
Colorado,WND,2023,29028900662.13965
Colorado,WND,2024,30046036106.36255
Colorado,WND,2025,31063171550.585205
Connecticut,COL,2023,0.0
Connecticut,COL,2024,0.0
Connecticut,COL,2025,0.0
Connecticut,NG,2023,50481569931.873535
Connecticut,NG,2024,52324775345.5376
Connecticut,NG,2025,54167980759.20215
Connecticut,NUC,2023,48508799704.734985
Connecticut,NUC,2024,48233784620.97632
Connecticut,NUC,2025,47958769537.21765
Connecticut,PET,2023,426492177.0250397
Connecticut,PET,2024,375262078.6468048
Connecticut,PET,2025,324031980.26856995
Connecticut,SUN,2023,566429913.4035492
Connecticut,SUN,2024,626734348.1927185
Connecticut,SUN,2025,687038782.9818878
Connecticut,WND,2023,15937449.01249218
Connecticut,WND,2024,12613046.175125122
Connecticut,WND,2025,9288643.337759018
Delaware,COL,2023,0.0
Delaware,COL,2024,0.0
Delaware,COL,2025,0.0
Delaware,NG,2023,9100524088.193726
Delaware,NG,2024,8751833958.323608
Delaware,NG,2025,8403143828.453369
Delaware,PET,2023,185071868.6672573
Delaware,PET,2024,181941934.05088234
Delaware,PET,2025,178811999.43450642
Delaware,SUN,2023,144663616.00300217
Delaware,SUN,2024,149451930.30542564
Delaware,SUN,2025,154240244.60785103
Delaware,WND,2023,7309192.4858
Delaware,WND,2024,7309192.4858
Delaware,WND,2025,7309192.4858
Florida,COL,2023,36014256230.62109
Florida,COL,2024,25214515688.722656
Florida,COL,2025,14414775146.824219
Florida,NG,2023,424880749108.60547
Florida,NG,2024,435021064380.9258
Florida,NG,2025,445161379653.25
Florida,NUC,2023,97213841053.96094
Florida,NUC,2024,99277501811.38818
Florida,NUC,2025,101341162568.81592
Florida,PET,2023,1404952481.3925781
Florida,PET,2024,480330730.3076172
Florida,PET,2025,0.0
Florida,SUN,2023,16083593116.187988
Florida,SUN,2024,17590829410.640625
Florida,SUN,2025,19098065705.09375
Georgia,COL,2023,33766649061.847656
Georgia,COL,2024,22801851067.23828
Georgia,COL,2025,11837053072.625
Georgia,NG,2023,141095793298.85156
Georgia,NG,2024,146797727812.21484
Georgia,NG,2025,152499662325.57617
Georgia,NUC,2023,106791327925.49011
Georgia,NUC,2024,107281330703.19006
Georgia,NUC,2025,107771333480.89001
Georgia,PET,2023,351251790.0201744
Georgia,PET,2024,351225001.39203966
Georgia,PET,2025,351198212.7639049
Georgia,SUN,2023,10217807618.502441
Georgia,SUN,2024,11224020830.069092
Georgia,SUN,2025,12230234041.635498
Hawaii,COL,2023,3375082753.3178406
Hawaii,COL,2024,3281050787.7886963
Hawaii,COL,2025,3187018822.2595825
Hawaii,NG,2023,0.0
Hawaii,NG,2024,0.0
Hawaii,NG,2025,0.0
Hawaii,PET,2023,19034490635.224457
Hawaii,PET,2024,18956561466.077576
Hawaii,PET,2025,18878632296.930725
Hawaii,SUN,2023,979302423.1534119
